"rank","business_name","review_count","categories","rating","address","price_range","url"
"1","Din Tai Fung","4948","Taiwanese","4","3333 Bristol St ","$$","https://www.yelp.com/biz/din-tai-fung-costa-mesa?osq=Restaraunts"
"2","China Moon","826","Chinese","4.5","30001 Town Center Dr ","$$","https://www.yelp.com/biz/china-moon-laguna-niguel?osq=Restaraunts"
"3","Asian Kitchen","129","Chinese,Asian Fusion,Vietnamese","4.5","30271 Golden Lantern ","$$","https://www.yelp.com/biz/asian-kitchen-laguna-niguel?osq=Restaraunts"
"4","Salt Creek Grille","1869","American (New),Seafood,Steakhouses","4.5","32802 Pacific Coast Hwy ","$$","https://www.yelp.com/biz/salt-creek-grille-dana-point?osq=Restaraunts"
"5","Heritage Barbecue","9","Barbeque","5","31727 Camino Capistrano ","","https://www.yelp.com/biz/heritage-barbecue-san-juan-capistrano?osq=Restaraunts"
"6","Ironwood","893","American (New),Seafood,Cocktail Bars","4.5","25250 La Paz Rd ","$$","https://www.yelp.com/biz/ironwood-laguna-hills-5?osq=Restaraunts"
"7","Sambuca Italian Bistro","384","Italian","4.5","31161 Niguel Rd ","$$","https://www.yelp.com/biz/sambuca-italian-bistro-laguna-niguel-2?osq=Restaraunts"
"8","Brussels Bistro","174","Belgian","4.5","218 Avenida Del Mar ","$$","https://www.yelp.com/biz/brussels-bistro-san-clemente?osq=Restaraunts"
"9","Mastro’s Ocean Club","2184","Seafood,Steakhouses,Lounges","4","8112 E Coast Hwy ","$$$$","https://www.yelp.com/biz/mastros-ocean-club-newport-beach-2?osq=Restaraunts"
"10","Hendrix Restaurant and Bar","822","American (New),Cocktail Bars,Breakfast &amp; Brunch","4","32431 Golden Lantern ","$$","https://www.yelp.com/biz/hendrix-restaurant-and-bar-laguna-niguel-3?osq=Restaraunts"
