"rank","business_name","review_count","categories","rating","address","price_range","url"
"1","Brü Grill &amp; Market","1881","American (New)","4","23730 El Toro Rd ","$$","https://www.yelp.com/biz/br%C3%BC-grill-and-market-lake-forest-2?osq=Restaraunts"
"2","Woodfire Kabob Restaurant","840","Persian/Iranian,Mediterranean,Halal","4.5","24155 Laguna Hills Mall ","$$","https://www.yelp.com/biz/woodfire-kabob-restaurant-laguna-hills-2?osq=Restaraunts"
"3","Ironwood","893","American (New),Seafood,Cocktail Bars","4.5","25250 La Paz Rd ","$$","https://www.yelp.com/biz/ironwood-laguna-hills-5?osq=Restaraunts"
"4","King’s Fish House - Laguna","1294","Seafood","4","24001 Avenida De La Corlota ","$$","https://www.yelp.com/biz/kings-fish-house-laguna-laguna-hills?osq=Restaraunts"
"5","Ma’s House","240","Chinese,Halal,Noodles","3.5","24291 Avenida De La Carlota ","$$","https://www.yelp.com/biz/mas-house-laguna-hills-2?osq=Restaraunts"
"6","Sunny Dumpling House","234","Dim Sum,Noodles","4","24602 Raymond Way ","$$","https://www.yelp.com/biz/sunny-dumpling-house-lake-forest-3?osq=Restaraunts"
"7","Tomo Sushi","382","Japanese,Sushi Bars,Korean","4","24338 El Toro Rd ","$$","https://www.yelp.com/biz/tomo-sushi-laguna-woods-2?osq=Restaraunts"
"8","Classic Chinese Restaurant","323","Chinese","3.5","23565 Moulton Pkwy ","$$","https://www.yelp.com/biz/classic-chinese-restaurant-laguna-hills?osq=Restaraunts"
"9","Stater Bros. Markets","71","Grocery,Delis,Butcher","3","24336 El Toro Rd ","$$","https://www.yelp.com/biz/stater-bros-markets-laguna-woods-3?osq=Restaraunts"
"10","Pizzeria Amore","239","Italian,Pizza","4.5","24338 El Toro Rd ","$","https://www.yelp.com/biz/pizzeria-amore-laguna-woods?osq=Restaraunts"
